,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
179,2021-01-26,500,内地企业,Mainland Enterprises,600150,中国船舶,China CSSC Holdings Limited,SHH
180,2021-01-26,500,内地企业,Mainland Enterprises,600161,天坛生物,Beijing Tiantan Biological Products Co Ltd,SHH
181,2021-01-26,500,内地企业,Mainland Enterprises,600170,上海建工,Shanghai Construction Co Ltd,SHH
182,2021-01-26,500,内地企业,Mainland Enterprises,600176,中国巨石,"CHINA JUSHI CO., LTD.",SHH
183,2021-01-26,500,内地企业,Mainland Enterprises,600177,雅戈尔,Youngor Group Co Ltd,SHH
184,2021-01-26,500,内地企业,Mainland Enterprises,600183,生益科技,"Shengyi Technology Co.,Ltd.",SHH
185,2021-01-26,500,内地企业,Mainland Enterprises,600188,兖州煤业,Yanzhou Coal Mining Co Ltd,SHH
186,2021-01-26,500,内地企业,Mainland Enterprises,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,SHH
187,2021-01-26,500,内地企业,Mainland Enterprises,600219,南山铝业,"Shandong Nanshan Aluminium Co., Ltd.",SHH
188,2021-01-26,500,内地企业,Mainland Enterprises,600271,航天信息,"Aisino Co.,Ltd",SHH
189,2021-01-26,500,内地企业,Mainland Enterprises,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,SHH
190,2021-01-26,500,内地企业,Mainland Enterprises,600297,广汇汽车,"China Grand Automotive Services Co., Ltd.",SHH
191,2021-01-26,500,内地企业,Mainland Enterprises,600299,安迪苏,Bluestar Adisseo Company,SHH
192,2021-01-26,500,内地企业,Mainland Enterprises,600309,万华化学,"Wanhua Chemical Group Co., Ltd.",SHH
193,2021-01-26,500,内地企业,Mainland Enterprises,600323,瀚蓝环境,"Grandblue Environment Co.,Ltd.",SHH
194,2021-01-26,500,内地企业,Mainland Enterprises,600332,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,SHH
195,2021-01-26,500,内地企业,Mainland Enterprises,600340,华夏幸福,"China Fortune Land Development Co., Ltd.",SHH
196,2021-01-26,500,内地企业,Mainland Enterprises,600346,恒力石化,"Hengli Petrochemical Co.,Ltd.",SHH
